scene,variant,phi_deg,clean_conf_mean,victim_conf_mean,peer_patched_conf_mean,peer_patched_conf_std,suppression_rate,n_seeds,marked
bus.jpg,single-view,0,0.879,0.0,0.0,0.0,1.0,3,
bus.jpg,single-view,3,0.877,0.0,0.0,0.0,1.0,3,
bus.jpg,single-view,6,0.861,0.0,0.0,0.0,1.0,3,
bus.jpg,single-view,9,0.892,0.0,0.085,0.121,0.667,3,
bus.jpg,single-view,12,0.864,0.0,0.137,0.194,0.667,3,3 m sep
bus.jpg,single-view,15,0.778,0.0,0.375,0.013,0.0,3,
bus.jpg,single-view,18,0.585,0.0,0.511,0.093,0.0,3,
bus.jpg,single-view,21,0.647,0.0,0.363,0.027,0.0,3,
bus.jpg,single-view,23,0.467,0.0,0.321,0.028,0.0,3,6 m sep
bus.jpg,viewpoint-robust,0,0.879,0.0,0.0,0.0,1.0,3,
bus.jpg,viewpoint-robust,3,0.877,0.0,0.0,0.0,1.0,3,
bus.jpg,viewpoint-robust,6,0.861,0.0,0.0,0.0,1.0,3,
bus.jpg,viewpoint-robust,9,0.892,0.0,0.0,0.0,1.0,3,
bus.jpg,viewpoint-robust,12,0.864,0.0,0.0,0.0,1.0,3,3 m sep
bus.jpg,viewpoint-robust,15,0.778,0.0,0.0,0.0,1.0,3,
bus.jpg,viewpoint-robust,18,0.585,0.0,0.0,0.0,1.0,3,
bus.jpg,viewpoint-robust,21,0.647,0.0,0.0,0.0,1.0,3,
bus.jpg,viewpoint-robust,23,0.467,0.0,0.0,0.0,1.0,3,6 m sep
zidane.jpg,single-view,0,0.847,0.348,0.348,0.031,0.0,3,
zidane.jpg,single-view,3,0.788,0.348,0.416,0.087,0.0,3,
zidane.jpg,single-view,6,0.772,0.348,0.384,0.091,0.0,3,
zidane.jpg,single-view,9,0.713,0.348,0.481,0.048,0.0,3,
zidane.jpg,single-view,12,0.622,0.348,0.559,0.015,0.0,3,3 m sep
zidane.jpg,single-view,15,0.625,0.348,0.591,0.05,0.0,3,
zidane.jpg,single-view,18,0.681,0.348,0.752,0.033,0.0,3,
zidane.jpg,single-view,21,0.644,0.348,0.709,0.043,0.0,3,
zidane.jpg,single-view,23,0.547,0.348,0.621,0.122,0.0,3,6 m sep
zidane.jpg,viewpoint-robust,0,0.847,0.542,0.542,0.08,0.0,3,
zidane.jpg,viewpoint-robust,3,0.788,0.542,0.402,0.075,0.0,3,
zidane.jpg,viewpoint-robust,6,0.772,0.542,0.493,0.166,0.0,3,
zidane.jpg,viewpoint-robust,9,0.713,0.542,0.454,0.12,0.0,3,
zidane.jpg,viewpoint-robust,12,0.622,0.542,0.389,0.029,0.0,3,3 m sep
zidane.jpg,viewpoint-robust,15,0.625,0.542,0.497,0.082,0.0,3,
zidane.jpg,viewpoint-robust,18,0.681,0.542,0.443,0.056,0.0,3,
zidane.jpg,viewpoint-robust,21,0.644,0.542,0.365,0.064,0.0,3,
zidane.jpg,viewpoint-robust,23,0.547,0.542,0.401,0.043,0.0,3,6 m sep
