scene,variant,seed,patch_area_pct,phi_deg,victim_conf,peer_patched_conf,peer_clean_conf,action_delta
bus.jpg,single-view,0,4.25,0,0.0,0.0,0.879,0.0
bus.jpg,single-view,0,4.25,3,0.0,0.0,0.877,0.1503
bus.jpg,single-view,0,4.25,6,0.0,0.0,0.861,0.3935
bus.jpg,single-view,0,4.25,9,0.0,0.0,0.892,0.472
bus.jpg,single-view,0,4.25,12,0.0,0.0,0.864,0.5834
bus.jpg,single-view,0,4.25,15,0.0,0.391,0.778,0.5885
bus.jpg,single-view,0,4.25,18,0.0,0.63,0.585,0.6314
bus.jpg,single-view,0,4.25,21,0.0,0.401,0.647,0.7782
bus.jpg,single-view,0,4.25,23,0.0,0.31,0.467,0.8801
bus.jpg,single-view,1,4.25,0,0.0,0.0,0.879,0.0
bus.jpg,single-view,1,4.25,3,0.0,0.0,0.877,0.1941
bus.jpg,single-view,1,4.25,6,0.0,0.0,0.861,0.8163
bus.jpg,single-view,1,4.25,9,0.0,0.256,0.892,0.4516
bus.jpg,single-view,1,4.25,12,0.0,0.411,0.864,0.4423
bus.jpg,single-view,1,4.25,15,0.0,0.376,0.778,0.554
bus.jpg,single-view,1,4.25,18,0.0,0.5,0.585,0.5677
bus.jpg,single-view,1,4.25,21,0.0,0.345,0.647,0.716
bus.jpg,single-view,1,4.25,23,0.0,0.359,0.467,0.7291
bus.jpg,single-view,2,4.25,0,0.0,0.0,0.879,0.0
bus.jpg,single-view,2,4.25,3,0.0,0.0,0.877,0.044
bus.jpg,single-view,2,4.25,6,0.0,0.0,0.861,0.0787
bus.jpg,single-view,2,4.25,9,0.0,0.0,0.892,0.6692
bus.jpg,single-view,2,4.25,12,0.0,0.0,0.864,0.1781
bus.jpg,single-view,2,4.25,15,0.0,0.359,0.778,0.586
bus.jpg,single-view,2,4.25,18,0.0,0.404,0.585,0.6315
bus.jpg,single-view,2,4.25,21,0.0,0.343,0.647,0.5098
bus.jpg,single-view,2,4.25,23,0.0,0.293,0.467,0.5331
bus.jpg,viewpoint-robust,0,4.25,0,0.0,0.0,0.879,0.0
bus.jpg,viewpoint-robust,0,4.25,3,0.0,0.0,0.877,0.4895
bus.jpg,viewpoint-robust,0,4.25,6,0.0,0.0,0.861,0.3303
bus.jpg,viewpoint-robust,0,4.25,9,0.0,0.0,0.892,0.8007
bus.jpg,viewpoint-robust,0,4.25,12,0.0,0.0,0.864,0.784
bus.jpg,viewpoint-robust,0,4.25,15,0.0,0.0,0.778,0.897
bus.jpg,viewpoint-robust,0,4.25,18,0.0,0.0,0.585,1.005
bus.jpg,viewpoint-robust,0,4.25,21,0.0,0.0,0.647,0.9804
bus.jpg,viewpoint-robust,0,4.25,23,0.0,0.0,0.467,1.0144
bus.jpg,viewpoint-robust,1,4.25,0,0.0,0.0,0.879,0.0
bus.jpg,viewpoint-robust,1,4.25,3,0.0,0.0,0.877,0.6979
bus.jpg,viewpoint-robust,1,4.25,6,0.0,0.0,0.861,0.4078
bus.jpg,viewpoint-robust,1,4.25,9,0.0,0.0,0.892,0.5379
bus.jpg,viewpoint-robust,1,4.25,12,0.0,0.0,0.864,0.4062
bus.jpg,viewpoint-robust,1,4.25,15,0.0,0.0,0.778,0.4194
bus.jpg,viewpoint-robust,1,4.25,18,0.0,0.0,0.585,0.3864
bus.jpg,viewpoint-robust,1,4.25,21,0.0,0.0,0.647,0.4926
bus.jpg,viewpoint-robust,1,4.25,23,0.0,0.0,0.467,0.4916
bus.jpg,viewpoint-robust,2,4.25,0,0.0,0.0,0.879,0.0
bus.jpg,viewpoint-robust,2,4.25,3,0.0,0.0,0.877,0.2064
bus.jpg,viewpoint-robust,2,4.25,6,0.0,0.0,0.861,0.2857
bus.jpg,viewpoint-robust,2,4.25,9,0.0,0.0,0.892,0.3393
bus.jpg,viewpoint-robust,2,4.25,12,0.0,0.0,0.864,0.7366
bus.jpg,viewpoint-robust,2,4.25,15,0.0,0.0,0.778,0.4386
bus.jpg,viewpoint-robust,2,4.25,18,0.0,0.0,0.585,0.6873
bus.jpg,viewpoint-robust,2,4.25,21,0.0,0.0,0.647,0.578
bus.jpg,viewpoint-robust,2,4.25,23,0.0,0.0,0.467,0.622
zidane.jpg,single-view,0,5.06,0,0.311,0.311,0.847,0.0
zidane.jpg,single-view,0,5.06,3,0.311,0.302,0.788,0.7795
zidane.jpg,single-view,0,5.06,6,0.311,0.321,0.772,0.2714
zidane.jpg,single-view,0,5.06,9,0.311,0.413,0.713,0.8153
zidane.jpg,single-view,0,5.06,12,0.311,0.55,0.622,0.8411
zidane.jpg,single-view,0,5.06,15,0.311,0.547,0.625,0.9465
zidane.jpg,single-view,0,5.06,18,0.311,0.71,0.681,0.9616
