round,drone_id,is_colluder,r_i
1,bravo,True,0.8
1,charlie,True,0.8
1,delta,False,1.0
1,echo,False,1.0
2,bravo,True,0.6
2,charlie,True,0.6
2,delta,False,1.0
2,echo,False,1.0
3,bravo,True,0.4
3,charlie,True,0.4
3,delta,False,1.0
3,echo,False,1.0
4,bravo,True,0.2
4,charlie,True,0.2
4,delta,False,1.0
4,echo,False,1.0
5,bravo,True,0.1
5,charlie,True,0.1
5,delta,False,1.0
5,echo,False,1.0
6,bravo,True,0.1
6,charlie,True,0.1
6,delta,False,1.0
6,echo,False,1.0
7,bravo,True,0.1
7,charlie,True,0.1
7,delta,False,1.0
7,echo,False,1.0
8,bravo,True,0.1
8,charlie,True,0.1
8,delta,False,1.0
8,echo,False,1.0
9,bravo,True,0.1
9,charlie,True,0.1
9,delta,False,1.0
9,echo,False,1.0
10,bravo,True,0.1
10,charlie,True,0.1
10,delta,False,1.0
10,echo,False,1.0
11,bravo,True,0.1
11,charlie,True,0.1
11,delta,False,1.0
11,echo,False,1.0
12,bravo,True,0.1
12,charlie,True,0.1
12,delta,False,1.0
12,echo,False,1.0
