i,sign_us
0,4710.624
1,4689.344
2,4666.112
3,4679.552
4,4702.912
5,4680.32
6,4673.952
7,4688.608
8,4700.544
9,4675.68
10,4662.272
11,4699.296
12,4679.968
13,4677.728
14,4698.208
15,4675.328
16,4701.344
17,4661.792
18,4667.2
19,4660.128
20,4652.32
21,4677.408
22,4699.168
23,4711.84
24,4778.816
25,4740.832
26,4741.92
27,4734.688
28,4722.912
29,4720.768
30,4720.864
31,4716.224
32,4748.064
33,4698.528
34,4744.448
35,4697.504
36,4719.648
37,4718.4
38,4722.24
39,4715.392
40,4709.152
41,4688.032
42,4712.064
43,4720.96
44,4732.48
45,4821.44
46,4751.904
47,4722.048
48,4726.72
49,4713.664
50,4713.408
51,4712.064
52,4731.968
53,4692.288
54,4717.728
55,4713.024
56,4708.288
57,4736.544
58,4705.28
59,4710.176
60,4708.896
61,4707.36
62,4777.376
63,4757.856
64,4720.32
65,4727.072
66,4723.648
67,4727.008
68,4735.36
69,4716.0
70,4744.832
71,4712.992
72,4733.44
73,4710.144
74,4716.48
75,4700.48
76,4706.944
77,4901.184
78,4704.416
79,4765.792
80,4731.392
81,4709.568
82,4711.776
83,4705.792
84,4734.464
85,4732.896
86,4712.64
87,4707.84
88,4738.112
89,4745.728
90,4739.872
91,4708.0
92,4719.808
93,4713.44
94,4705.792
95,4705.888
96,4706.464
97,4707.04
98,4732.896
99,4733.344
100,4706.08
101,4705.472
102,4706.944
103,4708.544
104,4716.8
105,4695.584
106,4705.568
107,4709.184
108,4706.4
109,4708.096
110,4735.328
111,4743.296
112,4708.768
113,4710.208
114,4739.296
115,4738.976
116,4746.144
117,4708.8
118,4704.864
119,4707.296
120,4707.424
121,4700.992
122,4684.544
123,4729.152
124,4706.528
125,4735.968
126,4701.216
127,4707.232
128,4720.48
129,4716.992
130,4708.896
131,4712.096
132,4733.376
133,4707.744
134,4736.48
135,4734.784
136,4705.312
137,4712.8
138,4723.328
139,4672.864
140,4722.272
141,4737.376
142,4737.248
143,4704.736
144,4707.232
145,4705.728
146,4764.064
147,4711.392
148,4717.248
149,4699.296
150,4717.312
151,4715.072
152,4763.616
153,4711.744
154,4788.768
155,4710.848
156,4685.344
157,4709.408
158,4720.928
159,4741.12
160,4716.928
161,4712.352
162,4740.16
163,4720.64
164,4722.08
165,4695.328
166,4707.744
167,4689.6
168,4714.24
169,4709.44
170,4706.368
171,4703.136
172,4704.8
173,4684.0
174,4685.792
175,4664.544
176,4773.792
177,4679.936
178,5141.632
179,4665.76
180,4661.504
181,4660.832
182,4701.824
183,4676.128
184,4688.864
185,4686.176
186,4667.84
187,4663.104
188,4674.368
189,4689.056
190,4690.88
191,4686.176
192,4666.464
193,4664.64
194,4666.816
195,4664.8
196,4669.984
197,4756.288
198,4709.856
199,4677.856
200,4690.496
201,4688.672
202,4674.336
203,4689.152
204,4667.712
205,4686.976
206,4667.136
207,4664.0
208,4661.12
209,4664.96
210,4645.408
211,4661.632
212,4669.984
213,4666.464
214,4687.552
215,4668.128
216,4662.976
217,4683.392
218,4664.544
219,4662.144
220,4727.872
221,4679.456
222,4676.448
223,4678.688
224,4707.84
225,4686.56
226,4672.48
227,4647.712
228,4676.192
229,4673.12
230,4670.816
231,4676.704
232,4640.096
233,4687.52
234,4662.656
235,4727.424
236,4703.648
237,4650.112
238,4668.352
239,4660.032
240,4661.408
241,4683.904
242,4657.728
243,4650.016
244,4682.72
245,4663.776
246,4666.304
247,4676.128
248,4696.928
249,4665.632
250,4689.472
251,4685.92
252,4664.48
253,4667.04
254,4661.76
255,4664.192
256,4662.688
257,4667.552
258,4663.104
259,4673.088
260,4668.544
261,4686.528
262,4685.6
263,4686.432
264,4662.432
265,4685.856
266,4682.56
267,4660.064
268,4662.816
269,4645.472
270,4662.976
271,4660.512
272,4695.68
273,4664.8
274,4687.424
275,4659.104
276,4656.32
277,4685.952
278,4647.008
279,4686.88
280,4684.16
281,4673.568
282,4684.832
283,4673.12
284,4682.752
285,4638.976
286,4670.208
287,4645.056
288,4673.12
289,4651.904
290,4662.784
291,4660.288
292,4664.416
293,4682.88
294,4660.8
295,4666.976
296,4661.568
297,4656.032
298,4662.688
299,4670.912
300,4674.368
301,4667.136
302,4685.76
303,4732.64
304,4674.208
305,4667.424
306,4697.184
307,4715.712
308,4684.672
309,4676.224
310,4677.344
311,4643.328
312,4674.432
313,4688.096
314,4664.768
315,4676.896
316,4674.112
317,4662.528
318,4657.792
319,4662.528
320,4656.576
321,4663.52
322,4665.152
323,4686.24
324,4663.008
325,4663.392
326,4664.672
327,4668.736
328,4677.472
329,4733.6
330,4683.008
331,4689.664
332,4709.952
333,4645.824
334,4662.528
335,4670.656
336,4669.184
337,4649.984
338,4669.536
339,4684.064
340,4669.152
341,4683.456
342,4669.536
343,4666.144
344,4646.72
345,4688.192
346,4665.216
347,4665.888
348,4686.752
349,4665.472
350,4731.104
351,4674.592
352,4668.928
353,4697.6
354,4666.464
355,4672.704
356,4679.104
357,4675.168
358,4664.064
359,4675.776
360,4666.752
361,4631.392
362,4661.824
363,4657.952
364,4665.472
365,4656.864
366,4665.152
367,4667.616
368,4669.504
369,4675.968
370,4660.256
371,4664.032
372,4754.112
373,4677.856
374,4671.072
375,4680.0
376,4669.056
377,4677.184
378,4664.992
379,4688.704
380,4664.32
381,4648.672
382,4646.944
383,4680.384
384,4660.16
385,4670.336
386,4686.016
387,4684.64
388,4663.776
389,4662.656
390,4690.592
391,4667.232
392,4733.024
393,4685.504
394,4691.936
395,4662.656
396,4669.888
397,4625.472
398,4660.512
399,4665.344
400,4665.184
401,4662.208
402,4689.408
403,4660.128
404,4643.168
405,4687.488
406,4662.944
407,4625.696
408,4686.784
409,4662.176
410,4638.336
411,4682.976
412,4670.976
413,4646.336
414,4663.808
415,4647.104
416,4677.728
417,4690.4
418,4670.688
419,4639.84
420,4620.512
421,4633.472
422,4671.552
423,4648.928
424,4639.488
425,4636.288
426,4633.824
427,4622.432
428,4644.704
429,4685.568
430,4637.28
431,4662.368
432,4660.384
433,4693.152
434,4683.936
435,4661.568
436,4664.352
437,4657.632
438,4649.088
439,4663.968
440,4652.064
441,4680.736
442,4663.168
443,4625.76
444,4622.432
445,4663.36
446,4681.376
447,4649.056
448,4682.784
449,4647.456
450,4663.136
451,4665.696
452,4694.944
453,4696.672
454,4687.296
455,4703.136
456,4630.08
457,4687.808
458,4665.664
459,4684.64
460,4758.496
461,4674.4
462,4674.464
463,4659.584
464,4679.072
465,4681.856
466,4698.048
467,4676.224
468,4666.144
469,4691.232
470,4691.2
471,4664.8
472,4665.664
473,4683.616
474,4651.52
475,4662.88
476,4673.632
477,4688.416
478,4680.928
479,4664.032
480,4663.392
481,4686.464
482,4734.56
483,4667.552
484,4664.576
485,4622.176
486,4663.872
487,4663.328
488,4675.328
489,4671.904
490,4714.656
491,4654.272
492,4665.056
493,4688.192
494,4666.112
495,4659.744
496,4658.976
497,4664.512
498,4659.328
499,4686.848
500,4658.432
501,4699.392
502,4668.864
503,4670.56
504,4740.992
505,4695.04
506,4670.976
507,4694.24
508,4802.688
509,4798.72
510,4673.6
511,4695.392
512,4683.136
513,4677.6
514,4668.32
515,4664.896
516,4735.008
517,4765.6
518,4688.416
519,4670.848
520,4671.52
521,4671.904
522,4662.752
523,4646.816
524,4672.864
525,4699.04
526,4713.6
527,4690.976
528,4677.376
529,4662.144
530,4662.368
531,4662.144
532,4684.032
533,4685.984
534,4661.472
535,4660.448
536,4671.296
537,4645.344
538,4684.768
539,4659.04
540,4706.464
541,4665.312
542,4662.4
543,4667.968
544,4682.304
545,4663.584
546,4684.768
547,4656.832
548,4760.832
549,4663.104
550,4657.28
551,4664.0
552,4663.136
553,4686.4
554,4651.2
555,4692.096
556,4684.928
557,4691.968
558,4663.296
559,4668.32
560,4672.672
561,4673.056
562,4669.312
563,4690.528
564,4649.984
565,4662.464
566,4666.208
567,4666.24
568,4686.4
569,4735.04
570,4661.952
571,4673.568
572,4651.744
573,4676.704
574,4700.864
575,4696.064
576,4676.992
577,4638.496
578,4673.728
579,4656.32
580,4663.328
581,4661.92
582,4678.848
583,4648.352
584,4679.072
585,4664.672
586,4675.264
587,4660.544
588,4687.456
589,4686.144
590,4669.504
591,4730.4
592,4701.088
593,4703.232
594,4696.576
595,4670.88
596,4700.992
597,4693.792
598,4667.808
599,4654.08
600,4670.368
601,4673.888
602,4662.08
603,4661.504
604,4675.616
605,4683.168
606,4684.8
607,4660.704
608,4661.12
609,4688.288
610,4664.8
611,4681.536
612,4666.944
613,4728.416
614,4672.352
615,4688.448
616,4662.816
617,4656.032
618,4680.0
619,4668.288
620,4678.56
621,4668.896
622,4678.752
623,4686.688
624,4685.216
625,4667.104
626,4660.512
627,4665.632
628,4682.816
629,4659.552
630,4658.432
631,4686.464
632,4672.704
633,4664.224
634,4654.72
635,4747.968
636,4676.224
637,4697.472
638,4662.944
639,4659.968
640,4660.096
641,4668.096
642,4652.288
643,4674.24
644,4643.264
645,4697.696
646,4642.56
647,4662.272
648,4656.832
649,4674.848
650,4656.864
651,4659.52
652,4658.336
653,4663.392
654,4658.528
655,4664.8
656,4651.456
657,4741.632
658,4679.392
659,4667.616
660,4666.752
661,4688.576
662,4668.896
663,4675.2
664,4662.72
665,4664.224
666,4656.096
667,4689.728
668,4670.816
669,4675.808
670,4662.144
