theta,tpr,fpr,sigma_honest,attack_l2_lo,attack_l2_hi
0.0,1.0,1.0,0.08,0.2,1.4
0.05,1.0,0.9315,0.08,0.2,1.4
0.1,1.0,0.66,0.08,0.2,1.4
0.15,1.0,0.296,0.08,0.2,1.4
0.2,1.0,0.0985,0.08,0.2,1.4
0.25,0.96,0.0205,0.08,0.2,1.4
0.3,0.9215,0.0025,0.08,0.2,1.4
0.35,0.875,0.0,0.08,0.2,1.4
0.4,0.837,0.0,0.08,0.2,1.4
0.45,0.7905,0.0,0.08,0.2,1.4
0.5,0.7545,0.0,0.08,0.2,1.4
0.55,0.711,0.0,0.08,0.2,1.4
0.6,0.668,0.0,0.08,0.2,1.4
0.65,0.6255,0.0,0.08,0.2,1.4
0.7,0.586,0.0,0.08,0.2,1.4
0.75,0.5455,0.0,0.08,0.2,1.4
0.8,0.514,0.0,0.08,0.2,1.4
0.85,0.4725,0.0,0.08,0.2,1.4
0.9,0.4305,0.0,0.08,0.2,1.4
0.95,0.3875,0.0,0.08,0.2,1.4
1.0,0.3455,0.0,0.08,0.2,1.4
1.05,0.3025,0.0,0.08,0.2,1.4
1.1,0.259,0.0,0.08,0.2,1.4
1.15,0.208,0.0,0.08,0.2,1.4
1.2,0.158,0.0,0.08,0.2,1.4
1.25,0.1135,0.0,0.08,0.2,1.4
1.3,0.083,0.0,0.08,0.2,1.4
1.35,0.0415,0.0,0.08,0.2,1.4
1.4,0.0,0.0,0.08,0.2,1.4
1.45,0.0,0.0,0.08,0.2,1.4
1.5,0.0,0.0,0.08,0.2,1.4
1.55,0.0,0.0,0.08,0.2,1.4
1.6,0.0,0.0,0.08,0.2,1.4
1.65,0.0,0.0,0.08,0.2,1.4
1.7,0.0,0.0,0.08,0.2,1.4
1.75,0.0,0.0,0.08,0.2,1.4
1.8,0.0,0.0,0.08,0.2,1.4
1.85,0.0,0.0,0.08,0.2,1.4
1.9,0.0,0.0,0.08,0.2,1.4
1.95,0.0,0.0,0.08,0.2,1.4
2.0,0.0,0.0,0.08,0.2,1.4
