theta,n_seeds,tpr_mean,tpr_ci95,fpr_mean,fpr_ci95
0.0,10,1.0,0.0,1.0,0.0
0.05,10,1.0,0.0,0.9389,0.0035
0.1,10,1.0,0.0,0.668,0.0086
0.15,10,1.0,0.0,0.3158,0.008
0.2,10,1.0,0.0,0.1009,0.0036
0.25,10,0.9581,0.0036,0.0215,0.0016
0.3,10,0.9142,0.0048,0.0027,0.0007
0.35,10,0.8738,0.0055,0.0002,0.0002
0.4,10,0.832,0.0051,0.0,0.0
0.45,10,0.7899,0.0053,0.0,0.0
0.5,10,0.7484,0.0051,0.0,0.0
0.55,10,0.7061,0.0054,0.0,0.0
0.6,10,0.6652,0.0063,0.0,0.0
0.65,10,0.6245,0.0068,0.0,0.0
0.7,10,0.5843,0.007,0.0,0.0
0.75,10,0.5425,0.0082,0.0,0.0
0.8,10,0.503,0.0069,0.0,0.0
0.85,10,0.4597,0.0068,0.0,0.0
0.9,10,0.4177,0.0075,0.0,0.0
0.95,10,0.376,0.008,0.0,0.0
1.0,10,0.3324,0.0081,0.0,0.0
1.05,10,0.2916,0.0074,0.0,0.0
1.1,10,0.2509,0.0059,0.0,0.0
1.15,10,0.2107,0.0064,0.0,0.0
1.2,10,0.1704,0.0059,0.0,0.0
1.25,10,0.127,0.0051,0.0,0.0
1.3,10,0.0859,0.0039,0.0,0.0
1.35,10,0.0421,0.0022,0.0,0.0
1.4,10,0.0,0.0,0.0,0.0
1.45,10,0.0,0.0,0.0,0.0
1.5,10,0.0,0.0,0.0,0.0
1.55,10,0.0,0.0,0.0,0.0
1.6,10,0.0,0.0,0.0,0.0
1.65,10,0.0,0.0,0.0,0.0
1.7,10,0.0,0.0,0.0,0.0
1.75,10,0.0,0.0,0.0,0.0
1.8,10,0.0,0.0,0.0,0.0
1.85,10,0.0,0.0,0.0,0.0
1.9,10,0.0,0.0,0.0,0.0
1.95,10,0.0,0.0,0.0,0.0
2.0,10,0.0,0.0,0.0,0.0
